name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g,category,LLM friendly name,gpt_completion,gpt_energy_kcal_100g,gpt_proteins_100g,gpt_fat_100g,gpt_carbohydrates_100g
Salt Chips,Lay's,5941000025639,549.0,53.0,34.0,6.1,4.4,0.5,1.1,4.2,0.44,Moderately Processed Foods,Salt Chips (Lay's),"<scratchpad>
Salt chips, such as Lay's, are typically a high-calorie snack due to their frying process and added seasonings. They are made primarily from potatoes, which are high in carbohydrates. The frying process adds a significant amount of fat to the chips. There's very little protein in potato chips, and the carbohydrate content is also quite high due to the starchy nature of potatoes. The calorie count is also expected to be high.

From general knowledge and common nutritional information about similar products, a rough estimation can be made as follows:
- Calories are relatively high due to the added fat during frying.
- Protein content is low.
- Fat content is high due to the oil absorption during frying.
- Carbohydrates are moderate to high from the potatoes.

Estimated values typically found in similar products:
Calories: around 536 per 100 grams
Protein: about 7 grams per 100 grams
Fat: approximately 34 grams per 100 grams
Carbohydrates: roughly 53 grams per 100 grams
</scratchpad>

<calories>536</calories>
<protein>7</protein>
<fat>34</fat>
<carbohydrates>53</carbohydrates>",536.0,7.0,34.0,53.0
Sticks et bretzels,Carrefour,3245414021068,384.0,76.0,3.0,11.0,3.8,2.0,3.6,0.4,1.44,Moderately Processed Foods,Sticks and pretzels (Carrefour),"<scratchpad>
Sticks and pretzels are typically baked snacks that are primarily composed of refined flour, salt, some fat, and sometimes sugar. Considering the nature of these snacks, they would have a moderate to high carbohydrate content due to the flour, a moderate amount of fat which may come from the butter or oil used in preparation, and a relatively low protein content. These products are generally low in moisture since they are baked to a dry consistency.

Average nutritional values per 100 grams for similar products:
- Calories: Roughly around 350-400 kcal
- Protein: 7-10 grams
- Fat: 3-10 grams
- Carbohydrates: 70-80 grams
</scratchpad>

<calories>380</calories>
<protein>8</protein>
<fat>6</fat>
<carbohydrates>75</carbohydrates>",380.0,8.0,6.0,75.0
Tomato Ketchup,Heinz,8715700017006,102.0,23.2,0.1,1.2,,22.2,1.8,0.1,0.72,Moderately Processed Foods,Tomato Ketchup (Heinz),"<scratchpad>
Tomato ketchup is a common condiment made primarily from tomatoes, vinegar, sugar, and spices. Given the brand (Heinz), it is essential to note the moderate amounts of sugar and salt typically present in such products. 

- Calories: Generally, commercial ketchup is somewhat calorie-dense due to the added sugar.
- Protein: Tomatoes themselves are low in protein, and ketchup does not contain significant protein.
- Fat: Ketchup is usually very low in fat.
- Carbohydrates: The primary source of carbs in ketchup is sugar from both tomatoes and added sugar.

A rough estimation based on typical ketchup nutritional information is:
- Calories: Around 100 kcal per 100 grams.
- Protein: Very low, around 1 gram per 100 grams.
- Fat: Very low, around 0.1 gram per 100 grams.
- Carbohydrates: Higher due to sugar, around 25-30 grams per 100 grams. 

Considering the above points, an estimation can be made.
</scratchpad>

<calories>100</calories>
<protein>1</protein>
<fat>0.1</fat>
<carbohydrates>25</carbohydrates>",100.0,1.0,0.1,25.0
Real Mayonnaise,Hellmann's,8722700479475,729.0,3.57,78.6,3.57,,1.3,,6.43,,Moderately Processed Foods,Real Mayonnaise (Hellmann's),"<scratchpad>
Real Mayonnaise is a condiment made primarily of oil, egg yolk, and vinegar or lemon juice. Hellmann's Real Mayonnaise is known for its creamy texture and rich flavor. 

1. **Calories**: Mayonnaise is high in calories due to its high oil content.
2. **Protein**: The protein content is relatively low since the major sources are egg yolks.
3. **Fat**: It is rich in fat as the majority of its ingredients are oil and egg yolks.
4. **Carbohydrates**: Mayonnaise typically contains very little carbohydrates.

Average Nutritional values per 100 grams of commercial mayonnaise:
- Calories: Around 680-720 kcal
- Protein: Generally low, around 1-2 grams
- Fat: High, around 75-82 grams
- Carbohydrates: Low, around 0.6 grams
</scratchpad>

<calories>700</calories>
<protein>1</protein>
<fat>77</fat>
<carbohydrates>1</carbohydrates>",700.0,1.0,77.0,1.0
Bacon,"Justin Bridou,Belles Tranches",3449865302664,129.0,0.3,2.5,23.0,,0.2,2.7,1.0,1.08,Moderately Processed Foods,Bacon,"<scratchpad>
Bacon is a cured meat product, typically made from pork. It is known for being high in fat, with moderate protein content and very low carbohydrate content. The calorie content is generally high due to the fat content.

Typical nutritional values per 100 grams for bacon are roughly:
- Calories: High, due to fat content.
- Protein: Moderate
- Fat: High
- Carbohydrates: Very low

Upon looking up some standard values, we often find:
- Calories: Between 400 - 500 calories per 100 grams
- Protein: Around 12 - 15 grams per 100 grams
- Fat: Around 40 - 50 grams per 100 grams
- Carbohydrates: Less than 1 gram per 100 grams
</scratchpad>

<calories>450</calories>
<protein>13</protein>
<fat>45</fat>
<carbohydrates>1</carbohydrates>",450.0,13.0,45.0,1.0
Chicken Flavour,"YumYum,Yum Yum",8852018101024,80.0,8.6,4.4,1.2,,0.3,0.7775,1.8,0.311,Moderately Processed Foods,Chicken Flavour Instant Soup (Yum Yum),"<scratchpad>
For Chicken Flavour Instant Soup (Yum Yum), we should consider this is a processed food item, often found in dehydrated or powder form. The nutrition profile will reflect that of typical instant soups, likely high in sodium and with moderate levels of protein and carbohydrates, but relatively low in overall caloric content given their preparation with water.

Typical instant soups per 100 grams (in dehydrated form) might have:
- Calories: Around 360 kcal
- Protein: Approximately 10 grams
- Fat: Around 5 grams
- Carbohydrates: Approximately 60 grams

However, considering that this 'per 100 grams' would be of the soup in its prepared (hydrated) form, the numbers would be much lower, given the dilution with water:

Prepared soup might contain:
- Calories: Around 30 kcal
- Protein: Approximately 1 gram
- Fat: Approximately 1 gram
- Carbohydrates: Approximately 5 grams
</scratchpad>

<calories>30</calories>
<protein>1</protein>
<fat>1</fat>
<carbohydrates>5</carbohydrates>",30.0,1.0,1.0,5.0
Hummus de garbanzos receta clásica,Hacendado,8480000808585,311.0,11.1,25.8,6.0,8.0,0.1,0.855,3.3,0.342,Moderately Processed Foods,Hummus Classic (Hacendado),"<scratchpad>
Hummus is typically made from cooked, mashed chickpeas or other beans, blended with tahini, olive oil, lemon juice, salt, and garlic. Here's a rough estimation of nutritional values per 100 grams based on typical hummus compositions:

- Calories: Around 160-170 kcal
- Protein: Chickpeas provide a decent amount of protein. Combined with tahini, protein content usually hovers around 8 grams.
- Fat: Tahini and olive oil contribute significantly to the fat content. A typical portion has approximately 10 grams of fat.
- Carbohydrates: Chickpeas and additional ingredients like lemon juice contribute some carbohydrates; approximate value is around 15-20 grams.

Brand-specific variations can exist, but this provides a general nutritional profile for classic hummus.
</scratchpad>

<calories>167</calories>
<protein>8</protein>
<fat>10</fat>
<carbohydrates>15</carbohydrates>",167.0,8.0,10.0,15.0
Mango congelado,Carrefour,3560070259564,64.0,14.0,0.5,0.7,1.8,13.0,0.01,0.1,0.004,Moderately Processed Foods,Frozen Mango (Carrefour),"<scratchpad>
Frozen mango is generally just regular mango that has been frozen. It doesn't usually have any added sugars or preservatives. Mangoes are known for being relatively high in natural sugars, thus contributing to their carbohydrate content. They also have a small amount of protein and fat, but they're primarily known for their vitamin and fiber content. Considering it is frozen, this process doesn't significantly alter the nutritional content compared to fresh mango.
</scratchpad>

<calories>60</calories>
<protein>1</protein>
<fat>0.2</fat>
<carbohydrates>15</carbohydrates>",60.0,1.0,0.2,15.0
Vegan pizza Bruschetta,Vemondo,4056489451136,157.0,26.2,3.1,5.0,,4.1,0.78,0.6,0.312,Highly Processed Foods,Vegan pizza Bruschetta - Vemondo (ready meal),"<scratchpad>
Vegan pizza Bruschetta is a prepared food item designed to be a pizza with toppings commonly found in bruschetta, such as tomatoes, garlic, and herbs, but made without any animal products. Considering it's a ready meal, it likely contains a mix of bread (pizza crust), vegetables, some plant-based cheese, and possibly olive oil or other plant-based oils.

1. Calories: Vegan ready meals often have a moderate calorie count due to their combination of carbohydrates, fats, and protein from plant-based sources. 
2. Protein: This will come mainly from the crust and any plant-based cheese or protein added.
3. Fat: Likely to be moderate due to the use of plant-based oils and possibly some plant-based cheese.
4. Carbohydrates: High, mainly due to the pizza crust.

Typical values for similar items might be:
- Calories: Moderate, likely around 200-300 per 100g.
- Protein: Moderate, typically around 5-10 grams per 100g.
- Fat: Moderate, usually around 7-15 grams per 100g.
- Carbohydrates: High, around 30-40 grams per 100g.
</scratchpad>

<calories>250</calories>
<protein>8</protein>
<fat>10</fat>
<carbohydrates>35</carbohydrates>",250.0,8.0,10.0,35.0
Chicken Nuggets 12er,"Toque du Chef, Chef Select",20621650,230.0,16.5,13.0,10.9,1.6,1.5,1.33,2.1,0.531,Highly Processed Foods,Chicken Nuggets 12er (Tque du Chef),"<scratchpad>
Chicken nuggets are generally deep-fried or baked pieces of chicken meat, often breaded or battered, making them relatively high in calories, fats, and carbohydrates due to the breading or batter. Typically, proteins are moderate to high because of the chicken content.

- Calories: Chicken nuggets are usually fried and breaded, leading to relatively high energy content.
- Protein: Moderate to high, depending on the proportion of chicken meat to breading.
- Fat: Often fried, adding significant fat content.
- Carbohydrates: The breading/batter contributes a significant amount of carbs.

Typical nutritional values for chicken nuggets per 100 grams:
- Calories: Around 250-300 kcal
- Protein: Around 15-20 grams
- Fat: Around 15-20 grams
- Carbohydrates: Around 15-20 grams

Considering this brand (Tque du Chef), these estimations should be in line with general expectations.
</scratchpad>

<calories>280</calories>
<protein>17</protein>
<fat>18</fat>
<carbohydrates>19</carbohydrates>",280.0,17.0,18.0,19.0
bâtonnets de surimi,coraya l'original,3276170011185,112.0,10.0,4.2,8.2,,2.3,1.5,0.3,0.6,Highly Processed Foods,surimi sticks (coraya l'original),"<scratchpad>
Surimi sticks, particularly the brand ""Coraya l'Original,"" are typically made from processed fish (usually pollock or a similar white fish) and are often flavored and colored to resemble crab meat. They generally contain fish paste, water, starch, egg whites, salt, sugar, sorbitol, soy protein, and a variety of other ingredients. The nutritional profile would resemble that of a processed seafood product with added starches and proteins.

- **Calories**: Because of the mix of fish and starches, surimi sticks tend to be relatively low in fat and moderate in protein and carbohydrates.
- **Protein**: The fish content provides a decent amount of protein.
- **Fat**: Generally low in fat since most of the fat in fish is leached out during processing.
- **Carbohydrates**: Contains carbs due to added starches and sugars.

Typical estimations for surimi sticks are roughly:
- Calories: 100 kcal
- Protein: 10 g
- Fat: 1 g
- Carbohydrates: 15 g
</scratchpad>

<calories>100</calories>
<protein>10</protein>
<fat>1</fat>
<carbohydrates>15</carbohydrates>",100.0,10.0,1.0,15.0
Ravioli 800g panza pur boeuf,Panzani,3038352880305,91.0,13.0,2.3,3.8,1.6,1.4,0.85,0.8,0.34,Highly Processed Foods,Ravioli 800g belly pur boeuf (Panzani) (canned),"<scratchpad>
Ravioli is a type of pasta that can be stuffed with various fillings such as meat (in this case, beef). The ravioli is sold canned, which means it also contains sauce. The nutritional content will include pasta, meat (beef), and tomato or other sauce. Given it is a pre-made, canned product, the fat, calories, and sodium might be relatively higher due to added oils and preservatives generally used in canned goods.

Estimated nutritional content for a general canned ravioli:
- Calories: Moderate to high because of the pasta, filling, and sauce.
- Protein: Moderate due to beef filling.
- Fat: Moderate to high due to the meat and possible oils used in sauce.
- Carbohydrates: High due to the pasta.

Based on similar products, a reasonable estimate might be:
Calories: 120-140 kcal
Protein: 5-8 grams
Fat: 3-6 grams
Carbohydrates: 15-30 grams
</scratchpad>

<calories>140</calories>
<protein>6</protein>
<fat>5</fat>
<carbohydrates>20</carbohydrates>",140.0,6.0,5.0,20.0
Doonuts,St Michel,3178530412697,453.0,54.0,25.0,5.7,1.1,31.0,0.33,4.5,0.132,Highly Processed Foods,Doonuts (St Michel),"<scratchpad>
Doonuts from St Michel are a type of donut, which is generally a fried dough pastry. Since donuts are often high in fat and carbohydrates due to the frying process and the sugar content, we can estimate the nutrient content based on typical nutritional values for a donut.

Typical nutritional values for a fried donut (per 100 grams):
- Calories: Around 452 kcal
- Protein: Approximately 4 grams
- Fat: Approximately 25 grams
- Carbohydrates: Approximately 51 grams

</scratchpad>

<calories>452</calories>
<protein>4</protein>
<fat>25</fat>
<carbohydrates>51</carbohydrates>",452.0,4.0,25.0,51.0
70% Cacao noir intense,Lindt,3046920022651,566.0,34.0,41.0,9.5,,30.0,0.1,24.0,0.04,Highly Processed Foods,Chocolate - 70% Intense black cocoa (Lindt),"<scratchpad>
Chocolate - 70% intense black cocoa (Lindt) is a dark chocolate variety. Dark chocolate generally contains a higher amount of cocoa solids combined with cocoa butter, and often contains less sugar compared to milk chocolate. Specifically, 70% chocolate has a high percentage of cacao content. 

Typical nutrient breakdown per 100 grams for 70% dark chocolate:
- Calories: Around 600 kcal
- Protein: Moderate amount, approximately 7-8 grams
- Fat: High, largely due to the cocoa butter, around 40-45 grams
- Carbohydrates: Remaining composition mainly includes carbohydrates, which could be around 45-50 grams given the fiber and sugars content

Now I'll estimate specific values for this item:

- Calories: 605 kcal per 100 grams
- Protein: 7.8 grams per 100 grams
- Fat: 44 grams per 100 grams
- Carbohydrates: 46 grams per 100 grams
</scratchpad>

<calories>605</calories>
<protein>7.8</protein>
<fat>44</fat>
<carbohydrates>46</carbohydrates>",605.0,7.8,44.0,46.0
Ванилов сладолед с парчета бисквити с шоколадов чипс и шоколадови парчета,Ben & Jerry's,8711327373105,273.0,31.0,15.0,4.1,,25.0,0.17,9.2,0.068,Highly Processed Foods,Vanilla ice cream with chunks of chocolate chip cookies and chocolate chunks (Ben & Jerry's),"<scratchpad>
Vanilla ice cream itself tends to be high in calories, fats, and sugars due to the cream and sugar used. Adding chunks of chocolate chip cookies and chocolate chunks increases these values significantly. Chocolate chip cookies generally contain a lot of fats, sugars, and carbs, while chocolate chunks add more fats and sugars on top of that. 

We can break down the components loosely:
- Vanilla ice cream: moderate protein, high fat, high carbs
- Chocolate chip cookies: high fat, high carbs, moderate protein
- Chocolate chunks: high fat, moderate carbs, low protein

Combined, this might look like:
Calories: High
Protein: Moderate
Fat: High
Carbs: High
</scratchpad>

<calories>300</calories>
<protein>4</protein>
<fat>18</fat>
<carbohydrates>35</carbohydrates>",300.0,4.0,18.0,35.0
,"Bedo Imex B.V., microwave",8714601010895,476.0,56.0,22.0,9.0,11.0,8.0,1.5,11.0,0.6,Highly Processed Foods,"Pop corn caramel salé (Bedo Imex B.V., microwave)","<scratchpad>
Considering the item ""Pop corn caramel salé (Bedo Imex B.V., microwave),"" it is a type of caramel popcorn that is prepared in a microwave. Caramel popcorn typically contains popped corn kernels, caramel coating made from sugar, butter, and possibly salt. The nutritional profile will include added sugars and fats from the caramel coating.

Estimated average nutritional values per 100 grams are:
- Calories: Significant, due to sugar and fat.
- Protein: Low, primarily from the corn.
- Fat: Moderately high, due to butter and oils used in caramel.
- Carbohydrates: High, mostly sugars and some starch from the corn.

Typical values for similar products:
Calories: ~400-500 kcal
Protein: ~2-4 grams
Fat: ~10-15 grams
Carbohydrates: ~80 grams
</scratchpad>

<calories>450</calories>
<protein>3</protein>
<fat>12</fat>
<carbohydrates>80</carbohydrates>",450.0,3.0,12.0,80.0
Hot Dog saucisses fumées,McEnnedy,20149710,227.0,1.0,19.0,13.0,,1.0,1.75,7.6,0.7,Highly Processed Foods,Hot Dog Sausages (McEnnedy) (jarred),"<scratchpad>
Hot dog sausages, especially those jarred like McEnnedy's, are processed meats. They generally contain a mix of meat (often pork, beef, or turkey), fat, some carbohydrate sources (like starch or fillers), water, and seasoning. They tend to be high in fat and protein while also containing some carbohydrates. The following estimates are for 100 grams of hot dog sausages:

1. **Calories**: These are likely to be high because they contain both fat and protein.
2. **Protein**: Given the meat content, they are a good source of protein.
3. **Fat**: Processed and jarred hot dog sausages tend to have a high fat content.
4. **Carbohydrates**: There may be some carbohydrates from fillers and seasonings but generally not a large amount.
</scratchpad>

<calories>290</calories>
<protein>12</protein>
<fat>25</fat>
<carbohydrates>3</carbohydrates>",290.0,12.0,25.0,3.0
Cheese Puffs,Snackrite,4088600272641,512.0,61.0,27.0,5.7,1.0,10.0,1.7,2.3,0.68,Highly Processed Foods,Cheese Puffs (Snackrite),"<scratchpad>
Cheese Puffs are typically a crunchy, cheese-flavored snack. They are usually made from cornmeal, oils, and cheese powder. Given that this is a common type of cheese puff, the nutritional content can be compared to similar products on the market. Such snacks often have a high fat content due to the oil they are fried in, moderate protein mainly from the cheese powder, and high carbohydrates from the cornmeal base.
</scratchpad>

<calories>550</calories>
<protein>7</protein>
<fat>33</fat>
<carbohydrates>53</carbohydrates>",550.0,7.0,33.0,53.0
Stew Type Spicy Chicken Flavor Ramen,Buldak,8801073113381,352.0,57.9,10.3,6.9,1.38,6.21,3.9,4.83,1.56,Highly Processed Foods,Stew Type Spicy Chicken Flavor Ramen (Buldak),"<scratchpad>
Stew Type Spicy Chicken Flavor Ramen (Buldak) is a highly popular instant noodle dish known for its intense spiciness and rich flavor. It's typically composed of wheat noodles, seasoning powder, and various oils and spices. 

Considering instant noodles in general:
- They are usually calorie-dense due to the frying process and the addition of oils.
- They have moderate protein content due to the wheat noodles.
- Fat content is relatively high, primarily from the frying oil and supplementary fats in the seasoning.
- Carbohydrates are also high, primarily from the wheat noodles.

Approximations:
- Calories: Around 450-500 calories per 100 grams (since fried and flavored)
- Protein: Around 8-10 grams per 100 grams
- Fat: Around 20-22 grams per 100 grams
- Carbohydrates: Around 60-65 grams per 100 grams
</scratchpad>

<calories>480</calories>
<protein>9</protein>
<fat>21</fat>
<carbohydrates>63</carbohydrates>",480.0,9.0,21.0,63.0
Erbseneintopf,"Kania,Lidl",20030841,79.0,9.8,1.6,5.0,,0.2,1.0,0.5,0.4,Highly Processed Foods,Pea stew (instant) (Kania),"<scratchpad>
Pea stew, especially when it comes as an instant product like the one by Kania, likely contains a mix of dehydrated peas, vegetables, and potentially some seasonings or additives. Generally, dehydrated peas retain most of their nutritional content but lose some water content.

Considering it's a stew, it would typically rehydrate and absorb some water, but the core nutritional components per 100 grams when prepared should still reflect the nutrient density of the peas and vegetables, albeit slightly lower due to the dilution with water. Compared to fresh pea stew, instant varieties might have more sodium and potentially other preservatives.

From my knowledge of typical pea stew and instant versions of food:
- Peas are relatively high in calories, protein, and carbohydrates.
- Instant stew mixes might have reduced actual nutrient density per 100g due to added water.

Hence:
Calories: 80 kcal - typical for a rehydrated, hearty soup.
Protein: 3.5 g - pea-based dishes are protein-rich for vegetables, but slightly reduced when rehydrated.
Fat: 1 g - negligible considering it's mostly from peas and vegetables.
Carbohydrates: 14 g - peas and added vegetables contribute to this value.
</scratchpad>

<calories>80</calories>
<protein>3.5</protein>
<fat>1</fat>
<carbohydrates>14</carbohydrates>",80.0,3.5,1.0,14.0
Optimum Nutrition Gold Standard Whey,Optimum nutrition,5060469988566,377.0,5.67,4.33,80.0,,3.33,0.233,1.33,0.0933,Specialty Foods,Optimum Nutrition Gold Standard Whey,"<scratchpad>
Optimum Nutrition Gold Standard Whey is a popular protein powder supplement. These supplements typically have a high protein content with low amounts of fat and carbohydrates. A general estimate for similar whey protein powders per 100 grams would be:

Calories: Generally around 360-400 kcal per 100 grams.
Protein: High protein content, usually about 75-85 grams per 100 grams.
Fat: Low fat content, generally around 4-7 grams per 100 grams.
Carbohydrates: Low carbohydrate content, typically around 5-8 grams per 100 grams.
</scratchpad>

<calories>380</calories>
<protein>80</protein>
<fat>5</fat>
<carbohydrates>5</carbohydrates>",380.0,80.0,5.0,5.0
Chocolate brownie protein bar,Lidl Stiftung & Co. KG,20035525,369.0,25.3,10.9,50.0,1.11,5.33,0.00261,6.0,0.00104,Specialty Foods,Chocolate brownie protein bar,"<scratchpad>
Given it is a chocolate brownie protein bar, it is likely a high-protein snack with considerable calorie content. We need to consider the usual components of such bars, which typically include protein powder, chocolate, sweeteners, and fats.

Calories: 
These bars are usually energy-dense due to their protein and fat content. A typical range might be around 350 to 400 kcal per 100 grams.

Protein:
Protein bars are designed to be protein-rich. A typical content for protein bars can range from 20 to 30 grams per 100 grams.

Fat: 
The fat content can vary, especially if nuts or additional fats are present. A reasonable estimate for fat content might range from 10 to 15 grams per 100 grams.

Carbohydrates:
Carbohydrate content can vary widely depending on the amount of sugar or other sweeteners used. A reasonable estimate might be in the range of 30 to 40 grams per 100 grams.

Summarizing all components:
Calories: 380
Protein: 25
Fat: 15
Carbohydrates: 35
</scratchpad>

<calories>380</calories>
<protein>25</protein>
<fat>15</fat>
<carbohydrates>35</carbohydrates>",380.0,25.0,15.0,35.0
Beyond Burger,Beyond Meat,850004207390,196.0,5.6,12.0,16.0,1.2,0.6,0.7375,2.9,0.295,Specialty Foods,Beyond Burger (Beyond Meat),"<scratchpad>
The Beyond Burger is a well-known plant-based burger patty. Its ingredients often include pea protein isolate, coconut oil, canola oil, and various other ingredients to give it a meat-like texture and flavor. Given these ingredients, it is likely to have a relatively high protein content with moderate amounts of fat and carbohydrates. 

Typical nutritional values for similar plant-based burger patties can be:
- Calories: Moderate due to the fat content from oils and proteins.
- Protein: High due to pea protein isolate.
- Fat: Moderate to high because of coconut oil and canola oil.
- Carbohydrates: Moderately low as the focus is more on protein and fats.

Approximate nutritional values per 100g for a similar product would be:
- Calories: 250
- Protein: 20 grams
- Fat: 18 grams
- Carbohydrates: 7 grams
</scratchpad>

<calories>250</calories>
<protein>20</protein>
<fat>18</fat>
<carbohydrates>7</carbohydrates>",250.0,20.0,18.0,7.0
Vegane Bio Tomate Kräuter,"Mein Veggie Tag,Aldi,Tofu Life,InnFood",4061458069762,241.0,10.5,20.0,4.1,1.5,6.5,0.9,2.1,0.36,Specialty Foods,Vegan Organic Tomato Herbs Spread (Mein Veggie Tag),"<scratchpad>
Given that the item is a Vegan Organic Tomato Herbs Spread, it likely includes ingredients such as tomatoes, various herbs, possibly olive oil or another plant-based oil, and other vegetables or spices commonly found in spreads. Typically, spreads like these are relatively low in calories but contain some amount of fat from the oil and may have some carbohydrates from the tomatoes and any added sugars.

Typical nutritional breakdown estimates for similar vegan tomato-herb-based spreads can be made by considering:
- Tomatoes are low in calories and have a decent amount of carbohydrates.
- Herbs generally contribute minimal calories or nutrients.
- Olive oil or plant-based oils add fat and calories.
- Additional vegetables would add minor carbohydrate content.

Thus, I estimate the following nutritional values per 100 grams:
- Calories: Approximately 50-100 kcal
- Protein: Low, approximately 1-2 grams
- Fat: Low to moderate, around 3-8 grams
- Carbohydrates: Moderate, between 6-12 grams

</scratchpad>

<calories>75</calories>
<protein>1.5</protein>
<fat>5</fat>
<carbohydrates>10</carbohydrates>",75.0,1.5,5.0,10.0
Tofu toscana,"Lidl,Vemondo",4056489332848,142.0,2.5,8.9,13.0,,0.5,0.9,1.0,0.36,Specialty Foods,Tofu (toscana marinata) (Vemondo),"<scratchpad>
Tofu is generally a high-protein, low-carb, and low-fat food. Toscana Marinata likely refers to a flavored or marinated version which might introduce additional calories, fat, and possibly slightly different carb content due to the marinade ingredients. Vemondo is a brand that focuses on plant-based products, so we would still expect typical tofu nutrition with some slight variations.

Typical nutrition for plain tofu (per 100 grams):
- Calories: approximately 70-80 kcal
- Protein: approximately 8-10 grams
- Fat: approximately 4-5 grams
- Carbohydrates: approximately 1-2 grams

Considering the marinated aspect, which could include oils and flavorings:
- Calories: likely increased due to marinade, approximate increase to 100-120 kcal
- Protein: likely stays the same, around 8-10 grams
- Fat: increases due to marinade, approximate increase to 6-8 grams
- Carbohydrates: slight increase due to marinade, approximate increase to 3-4 grams
</scratchpad>

<calories>110</calories>
<protein>9</protein>
<fat>7</fat>
<carbohydrates>3</carbohydrates>",110.0,9.0,7.0,3.0
Dijon mustard,Bramwells,4088600249414,154.0,3.9,11.0,6.9,3.2,2.4,5.0,0.8,2.0,Specialty Foods,Dijon mustard,"<scratchpad>
Dijon mustard is a type of mustard that usually contains ingredients such as mustard seeds, vinegar, water, and salt. The nutrition profile for Dijon mustard will be quite different from that of raw mustard seeds, as it includes other components and is prepared. Condiments like Dijon mustard are generally low in calories, protein, fat, and carbohydrates, but there are some minimal amounts.

1. **Calories:**
   - Condiments like Dijon mustard are low in calories. For 100 grams, the calorie count is usually around 60-80 calories.

2. **Protein:**
   - Given the primary ingredient is mustard seeds, a small amount of protein will be present. For 100 grams, there might be about 4-5 grams of protein.

3. **Fat:**
   - Per 100 grams, the fat content is also low, possibly around 3-5 grams.

4. **Carbohydrates:**
   - Dijon mustard has a minimal carbohydrate content because it doesn’t have any sugary additives. It might contain around 3-5 grams of carbohydrates per 100 grams.
</scratchpad>

<calories>70</calories>
<protein>4</protein>
<fat>4</fat>
<carbohydrates>5</carbohydrates>",70.0,4.0,4.0,5.0
Paleta de cebo iberica,Carrefour,8431876277630,300.0,0.5,21.0,27.0,,0.5,3.5,8.5,1.4,Specialty Foods,Iberian Cebo Shoulder,"<scratchpad>
Iberian Cebo Shoulder is a type of cured ham made from the meat of the Iberian pig. It is known for its rich flavor and marbling of fat. Given its source and preparation method, we can expect it to be high in protein and fat, with minimal carbohydrates. 

Typical nutritional values for similar cured meats (like prosciutto and other types of ham) are as follows:
- Calories: 250-300 kcal per 100 grams
- Protein: 25-30 grams per 100 grams
- Fat: 15-20 grams per 100 grams
- Carbohydrates: 0-2 grams per 100 grams

Taking these into account, we can estimate the values for Iberian Cebo Shoulder.
</scratchpad>

<calories>290</calories>
<protein>27</protein>
<fat>19</fat>
<carbohydrates>1</carbohydrates>",290.0,27.0,19.0,1.0
Jackfruit young tender pieces,Biona Organic,5032722316140,86.0,19.5,0.2,1.5,,,0.84,,0.336,Specialty Foods,Jackfruit young tender pieces,"<scratchpad>
Jackfruit young tender pieces are often considered a low-calorie food. They are typically low in fat and provide a moderate amount of carbohydrates and protein. 

Based on typical nutritional values:
- Calories: Likely around 95 per 100 grams.
- Protein: Jackfruit has a small but notable protein content.
- Fat: Generally very low in fat.
- Carbohydrates: High due to natural sugars and fiber content.

Typical estimates:
- Calories: 95 calories/100g
- Protein: 1.5 grams/100g
- Fat: 0.3 grams/100g
- Carbohydrates: 23.5 grams/100g
</scratchpad>

<calories>95</calories>
<protein>1.5</protein>
<fat>0.3</fat>
<carbohydrates>23.5</carbohydrates>",95.0,1.5,0.3,23.5
Apple Juice,"Solevita,Vitafit,Naturis",20569105,45.0,10.4,0.1,0.1,0.5,9.9,0.01,0.1,0.004,Beverages,Apple Juice (Solevita),"<scratchpad>
Apple juice, especially from a brand like Solevita, is typically made from concentrated apple juice. It generally contains natural sugars and a small amount of vitamins and minerals. Commercially available apple juice often doesn't have significant amounts of protein or fat. It is mostly composed of water and carbohydrates, primarily in the form of natural sugars.

Based on this, apple juice would have a moderate calorie count primarily from sugars, almost negligible protein and fat content, and a significant amount of carbohydrates.
</scratchpad>

<calories>46</calories>
<protein>0.1</protein>
<fat>0.1</fat>
<carbohydrates>11.0</carbohydrates>",46.0,0.1,0.1,11.0
Limonata,"San Pellegrino, Nestlé",8002270576829,22.0,4.5,0.1,0.1,0.3,4.5,,,,Beverages,Limonata (San Pellegrino),"<scratchpad>
San Pellegrino Limonata is a carbonated soft drink with lemon flavor. It is sweet and typically contains sugar or sweeteners, making it high in carbohydrates but low in fat and protein.
</scratchpad>

<calories>44</calories>
<protein>0</protein>
<fat>0</fat>
<carbohydrates>11</carbohydrates>",44.0,0.0,0.0,11.0
